"Origin","Destination","Year","count"
"MSP","UCM","2016-2017",33
"UCM","MSP","2016-2017",43
"UCM","UCV","2016-2017",3
"UCV","UCM","2016-2017",1
"UCV","UCM","2017-2018",49
