LHS,RHS,support,confidence,lift
<{SSC1005_low score}> , <{SSC2019_low score}>,0.019389439,0.120512821,2.704843305
<{SSC1005_low score}> , <{HUM1003_low score}>,0.018976898,0.117948718,1.931808732
<{SSC1005_high score}> , <{SCI2034_low score}>,0.016914191,0.115819209,1.732998535
"<{SSC1007_high score},{SSC1006_high score}> ", <{SSC2024_low score}>,0.012376238,0.113207547,2.540880503
<{SSC2061_high score}> , <{SSC3018_low score}>,0.011963696,0.111111111,5.281045752
<{SSC2036_high score}> , <{SSC2022_low score}>,0.010313531,0.110619469,3.886110042
<{HUM2046_high score}> , <{SCI1016_low score}>,0.010726073,0.106557377,0.633076181
<{SSC2046_high score}> , <{SCI1016_low score}>,0.023927393,0.106422018,0.632271991
<{SSC1007_high score}> , <{SSC2024_low score}>,0.021864686,0.1037182,2.327897369
<{SCI1016_low score}> , <{SSC1025_low score}>,0.016914191,0.100490196,1.102209209
<{SSC1009_high score}> , <{SSC2024_low score}>,0.013613861,0.100303951,2.251266464
<{SSC1005_low score}> , <{SSC2050_low score}>,0.016089109,0.1,4.407272727
